title,date,location
Finance and Audit Committee Meeting,"January 8, 2020, 10:30 AM","State Transportation Building, Boston, MA"
Fiscal and Management Control Board Meeting,"January 13, 2020, 12:00 PM","State Transportation Building, Boston, MA"
South Station Pre-Construction Open House,"January 22, 2020, 4:30 PM","BSA Space, Fort Point Room, 2nd Floor, Boston, MA"
Fiscal and Management Control Board Meeting,"January 27, 2020, 12:00 PM","State Transportation Building, Boston, MA"
Lynn Transit Action Plan Advisory Committee Meeting #3,"January 31, 2020, 10:00 AM","Lynn YMCA, Lynn, MA"
South Coast Rail Construction Phase 1 Contractor Forum,"January 31, 2020, 10:00 AM","State Transportation Building, 2nd Floor, Board Room, Boston, MA"
Advisory Meeting | Riders' Transportation Access Group Meeting,"February 3, 2020, 5:30 PM","State Transportation Building, 2nd Floor, Board Room, Boston, MA"
Finance and Audit Committee Meeting,"February 5, 2020, 9:30 AM","State Transportation Building, Boston, MA"
Capital Programs Committee Meeting,"February 5, 2020, 10:30 AM","State Transportation Building, Boston, MA"
Joint Meeting of the MassDOT Board and the Fiscal and Management Control Board,"February 10, 2020, 11:00 AM","State Transportation Building, Boston, MA"
Lynn Transit Action Plan Public Information Meeting,"February 11, 2020, 6:00 PM","North Shore Community College, Lynn, MA"
"Newtonville Station Site Visit for Seniors, People with Disabilities","February 13, 2020, 1:00 PM","Newtonville Commuter Rail Station, Newton, MA"
Public Engagement Plan Meeting (Boston),"February 13, 2020, 6:00 PM","State Transportation Building, 2nd Floor, Board Room, Boston, MA"
"Newton Accessibility Improvements Workshop for Seniors, People with Disabilities","February 14, 2020, 1:00 PM","Newton Free Library, Newton, MA"
"West Newton Station Site Visit for Seniors, People with Disabilities","February 17, 2020, 1:00 PM","West Newton Station, Newton, MA"
"Newton Accessibility Improvements Workshop for Seniors, People with Disabilities","February 18, 2020, 1:00 PM","Newton Free Library, Newton, MA"
"Auburndale Station Site Visit for Seniors, People with Disabilities","February 20, 2020, 1:00 PM","Auburndale Station, Newton, MA"
"Newton Accessibility Improvements Workshop for Seniors, People with Disabilities","February 21, 2020, 1:00 PM","Newton Free Library, Newton, MA"
Fiscal and Management Control Board Meeting,"February 24, 2020, 12:00 PM","State Transportation Building, Boston, MA"
Public Engagement Plan Meeting (Quincy),"February 27, 2020, 6:00 PM","Quincy City Hall, Main Forum Meeting Room, Quincy, MA"
Public Meeting | Winchester Center Station,"March 4, 2020, 6:30 PM","McCall Middle School Auditorium, Winchester, MA"
Public Engagement Plan Meeting (Chelsea),"March 5, 2020, 6:00 PM","Chelsea City Hall, 2nd Floor, City Council Chambers, Chelsea, MA"
Fiscal and Management Control Board Meeting,"March 9, 2020, 12:00 PM","State Transportation Building, Boston, MA"
Better Bus Project Open House Featuring Bus Network Redesign - CANCELED,"March 10, 2020, 5:30 PM","Bruce C. Bolling Municipal Building Lobby, Roxbury, MA"
Green Line Extension (GLX) Public Meeting - CANCELED,"March 10, 2020, 6:00 PM","Multicultural Arts Center, Cambridge, MA"
Public Engagement Plan Meeting (Framingham) - CANCELED,"March 10, 2020, 6:00 PM","Framingham Public Library, Costin Room, Framingham, MA"
